"DOB" "NKID" "DEP" "PHON" "SINC" "AES" "DAINC" "RES" "DHVAL" "DMORT" "DOUTM" "DOUTL" "DOUTHP" "DOUTCC" "BAD"
"943" 59 0 0 1 0 "E" 18928 "O" 15792 0 0 0 0 0 0
"944" 29 0 0 1 0 "V" 15600 "O" 26464 4 0 0 0 0 1
"945" 58 0 0 1 0 "E" 30000 "P" 0 0 0 0 0 0 0
"946" 54 0 0 1 0 "P" 21687 "O" 28928 4928 980 0 0 200 0
"947" 47 3 0 0 16000 "V" 7200 "O" 31392 52928 1720 680 48 0 1
"949" 11 0 0 1 0 "Z" 0 "N" 0 0 0 0 0 0 1
"950" 62 1 0 1 536 "V" 40434 "O" 16928 4928 980 0 0 0 0
"952" 46 4 0 1 0 "E" 30000 "O" 0 0 0 0 0 0 0
"953" 56 2 1 1 0 "V" 37500 "U" 0 0 256 300 0 0 1
"954" 55 0 0 1 5799 "V" 26145 "O" 46464 10464 536 1080 0 0 1
"955" 65 0 0 1 0 "T" 8580 "F" 0 0 560 0 0 0 0
"957" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"959" 65 0 0 1 0 "P" 18750 "F" 0 0 0 0 0 0 0
"961" 65 0 0 0 0 "T" 0 "N" 0 0 0 0 0 0 1
"962" 65 0 0 1 0 "P" 22257 "P" 0 0 200 0 0 0 0
"963" 44 2 0 1 0 "P" 45000 "O" 0 0 1000 0 0 0 0
"965" 57 0 0 0 0 "P" 21000 "O" 48928 46464 700 0 0 0 0
"966" 19 0 0 1 0 "R" 0 "U" 0 0 360 0 0 0 1
"967" 45 2 0 1 0 "P" 39464 "O" 21248 928 1360 336 0 0 0
"968" 59 0 0 1 0 "P" 28500 "P" 0 0 0 0 0 0 0
"969" 18 0 0 1 0 "R" 9630 "U" 0 0 432 0 0 0 0
"970" 27 0 0 1 0 "E" 3464 "O" 21248 24000 640 0 0 0 0
"973" 69 0 0 1 0 "T" 0 "F" 0 0 520 0 0 0 1
"974" 53 2 0 1 5000 "E" 22500 "U" 0 0 400 392 80 120 0
"975" 67 0 0 1 0 "P" 10500 "P" 0 0 0 0 0 0 0
"976" 66 0 0 0 0 "T" 0 "P" 0 0 0 0 0 0 0
"977" 68 0 0 0 0 "T" 0 "N" 0 0 0 0 0 0 0
"978" 51 0 0 1 0 "P" 57000 "O" 64928 2464 504 0 0 0 0
"979" 68 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"982" 58 0 0 1 0 "V" 22620 "P" 0 0 320 316 84 0 0
"983" 50 0 0 1 0 "V" 47400 "O" 3392 3392 1400 0 0 0 0
"984" 61 0 0 1 15000 "P" 13500 "U" 0 0 0 0 0 0 0
"985" 66 0 0 0 0 "T" 882 "F" 0 0 0 0 0 0 0
"987" 47 2 0 1 0 "E" 25200 "O" 52464 38464 824 0 160 0 0
"990" 50 2 0 0 0 "V" 12000 "F" 0 0 1000 0 0 0 1
"991" 68 0 0 1 0 "T" 6426 "F" 0 0 360 0 0 0 1
"992" 56 3 0 1 0 "P" 33000 "U" 0 0 520 0 28 0 1
"993" 8 0 0 1 0 "R" 0 "N" 0 0 0 0 0 0 1
"995" 65 0 0 1 0 "P" 25500 "P" 0 0 0 0 0 0 0
"996" 69 0 0 1 0 "T" 5916 "N" 0 0 0 0 0 0 1
"997" 67 1 0 0 0 "P" 21750 "U" 0 0 448 0 80 0 0
"998" 67 0 0 1 0 "T" 5100 "P" 0 0 0 0 0 0 0
"999" 62 0 0 0 0 "T" 6000 "F" 0 0 0 0 0 0 0
"1000" 43 2 0 1 0 "V" 21942 "O" 0 0 0 0 0 0 0
"1002" 60 3 0 0 0 "T" 13365 "P" 0 0 144 0 0 0 0
"1003" 63 0 0 1 0 "P" 36600 "P" 0 0 0 0 360 200 0
"1004" 22 0 0 1 0 "R" 0 "O" 37856 4 0 0 0 0 1
"1005" 19 0 0 1 0 "R" 7044 "F" 0 0 0 0 0 0 1
"1006" 32 0 1 1 5000 "P" 33000 "O" 20928 42464 784 228 0 0 1
"1008" 26 0 0 0 0 "R" 0 "N" 0 0 0 0 0 0 1
"1009" 39 4 1 1 0 "B" 44529 "O" 39392 14464 800 84 0 600 0
"1011" 64 0 0 1 11200 "V" 19800 "O" 38464 6464 0 0 0 400 0
"1012" 35 0 0 1 5200 "P" 26487 "O" 16928 25352 244 280 0 0 0
"1013" 62 0 0 1 0 "P" 0 "U" 0 0 0 188 176 0 0
"1015" 57 0 0 1 0 "P" 24000 "O" 34464 0 0 0 0 0 0
"1016" 55 2 0 1 3000 "E" 45000 "O" 50176 54464 864 0 0 1200 0
"1017" 32 0 0 1 0 "R" 22500 "O" 54784 0 0 0 0 0 0
"1018" 7 0 0 1 0 "R" 0 "O" 0 0 0 0 0 0 1
"1020" 62 0 0 1 0 "P" 60000 "F" 0 0 800 0 0 0 0
"1022" 18 0 0 1 14000 "R" 0 "O" 28928 4 0 0 0 0 1
"1023" 57 0 0 1 0 "E" 24000 "O" 0 0 0 0 0 0 1
"1024" 53 0 0 1 18000 "P" 24000 "O" 48928 28928 1464 336 64 0 1
"1025" 68 0 0 1 0 "T" 0 "U" 0 0 320 0 0 0 0
"1027" 52 2 0 1 7500 "W" 0 "O" 3392 14464 980 0 0 0 1
"1029" 51 2 0 1 7500 "P" 16590 "O" 14464 0 448 0 144 0 1
"1030" 25 0 0 1 0 "P" 36000 "O" 28928 4 0 0 0 0 1
"1031" 55 2 0 1 0 "V" 58500 "O" 22464 40000 320 720 0 0 0
"1032" 47 2 0 1 12000 "W" 0 "O" 44928 44928 520 0 0 0 0
"1033" 69 0 0 1 0 "T" 4326 "P" 0 0 0 0 0 0 0
"1034" 55 2 0 1 0 "V" 9000 "O" 18464 46000 300 0 0 0 0
"1035" 37 2 0 1 6000 "V" 39666 "O" 37856 4928 1284 636 0 0 0
"1036" 57 0 0 1 0 "P" 42000 "O" 62464 18464 1040 320 160 0 1
"1037" 27 0 0 1 0 "R" 12000 "O" 32320 4 0 0 0 0 1
"1038" 33 0 0 1 0 "P" 43500 "O" 28928 4 0 416 0 0 0
"1039" 26 0 0 1 0 "W" 0 "U" 0 0 368 0 0 0 1
"1041" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"1042" 69 0 0 0 0 "T" 0 "F" 0 0 448 0 0 0 1
"1044" 66 1 0 1 0 "P" 0 "F" 0 0 0 0 0 0 0
"1046" 36 2 0 1 0 "P" 60000 "O" 20928 54464 1520 0 0 0 0
"1048" 65 0 0 1 0 "U" 0 "P" 0 0 0 0 0 0 0
"1049" 38 0 0 1 0 "P" 24000 "N" 14464 4 0 608 0 0 1
"1054" 47 0 0 1 0 "B" 16662 "P" 0 0 0 0 0 0 1
"1056" 56 0 0 1 0 "E" 54000 "U" 0 0 320 0 0 0 0
"1059" 57 1 0 0 3640 "P" 29736 "O" 38464 38464 0 120 640 0 0
"1060" 50 4 0 1 0 "T" 21000 "F" 0 0 480 0 0 0 0
"1062" 49 2 0 1 9620 "P" 4680 "F" 0 0 0 0 0 0 1
"1063" 56 0 0 0 0 "V" 21750 "O" 60000 44000 440 0 0 120 0
"1064" 20 0 0 1 0 "R" 0 "U" 0 0 72 0 0 0 0
"1068" 43 2 0 1 0 "P" 24464 "O" 43392 14928 1120 760 0 200 0
"1069" 11 0 0 0 0 "R" 13500 "O" 0 0 0 0 0 0 0
"1070" 63 0 0 1 6000 "P" 25500 "U" 0 0 280 508 0 0 0
"1073" 66 0 0 0 0 "T" 0 "F" 0 0 480 0 0 0 0
"1075" 44 2 0 1 12800 "P" 44400 "O" 32928 22464 712 760 0 160 1
"1076" 68 0 0 1 0 "P" 12000 "P" 0 0 240 0 0 0 1
"1079" 33 1 0 1 8056 "V" 50484 "O" 23392 4 0 0 0 200 0
"1080" 44 1 0 1 0 "E" 30000 "O" 53248 6464 800 0 0 0 1
"1083" 69 0 0 0 0 "T" 0 "P" 0 0 0 0 0 0 0
"1084" 36 0 1 1 0 "P" 18928 "F" 0 0 0 1440 0 1200 0
"1085" 7 0 0 1 0 "R" 0 "O" 14464 4 0 0 0 0 0
"1086" 61 0 0 1 0 "P" 12960 "P" 0 0 0 0 0 0 0
"1087" 65 0 0 1 12000 "T" 0 "O" 0 0 640 604 0 80 0
"1088" 58 0 0 1 0 "P" 24000 "O" 28928 64000 680 0 0 0 1
"1089" 58 2 0 1 0 "P" 39000 "F" 0 0 280 0 44 0 0
"1090" 36 0 0 1 0 "P" 15000 "O" 14464 32000 532 0 0 0 0
"1091" 64 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"1092" 68 0 0 1 0 "P" 17334 "P" 0 0 0 0 0 0 0
"1093" 62 1 0 0 5040 "M" 18000 "F" 0 0 172 288 0 60 0
"1095" 55 1 0 1 0 "P" 31980 "N" 0 0 0 0 0 300 0
"1096" 60 0 0 1 0 "V" 22500 "O" 22464 22464 600 0 0 0 1
"1097" 53 3 0 1 0 "P" 42000 "O" 8928 34464 720 360 0 80 0
"1099" 49 1 0 1 0 "P" 56100 "O" 32320 42464 400 420 0 0 0
"1100" 59 0 0 1 0 "P" 25620 "P" 0 0 0 0 0 0 0
"1101" 99 0 0 1 0 "Z" 21000 "N" 0 0 0 0 0 60 0
"1102" 21 1 0 1 20000 "W" 0 "O" 32320 4 0 0 0 0 0
"1104" 69 0 0 1 0 "V" 0 "P" 0 0 0 0 0 0 1
"1105" 64 0 0 1 0 "V" 20400 "U" 0 0 192 0 0 0 0
"1106" 53 2 0 1 1200 "P" 30000 "O" 54464 48000 528 0 0 0 0
"1110" 47 2 0 1 0 "P" 18900 "U" 0 0 0 0 0 0 0
"1111" 68 0 0 1 0 "P" 12960 "F" 0 0 480 36 0 0 0
"1112" 53 2 0 1 10000 "V" 9900 "U" 0 0 588 0 0 0 0
"1113" 68 0 0 1 0 "P" 10800 "P" 0 0 200 0 0 0 1
"1116" 40 1 0 1 10000 "E" 9464 "O" 3392 46464 1000 0 0 0 0
"1117" 41 0 0 1 0 "P" 29400 "U" 0 0 216 100 0 0 0
"1120" 58 0 0 0 0 "V" 7800 "U" 0 0 360 0 0 0 0
"1121" 61 0 0 1 0 "P" 0 "F" 0 0 0 0 0 0 1
"1122" 63 0 0 0 0 "P" 22800 "O" 6464 6464 584 120 0 0 1
"1123" 46 3 0 1 10500 "V" 30000 "O" 8928 34464 700 480 0 0 0
"1124" 57 0 0 1 0 "P" 49500 "O" 25392 6928 940 80 200 0 1
"1125" 68 0 0 1 0 "P" 13482 "P" 0 0 320 0 0 0 0
"1126" 63 0 0 1 0 "P" 25500 "U" 0 0 320 200 72 0 1
"1127" 54 0 0 1 0 "P" 10214 "O" 10176 52320 3800 700 0 0 1
"1128" 59 0 0 1 0 "T" 6000 "F" 0 0 480 0 0 0 1
"1129" 59 0 0 0 0 "U" 0 "N" 0 0 0 0 0 0 1
"1130" 56 2 0 1 0 "P" 37500 "O" 23392 26464 700 0 0 0 0
"1131" 54 2 0 1 3000 "V" 48600 "O" 46464 30464 624 264 0 0 0
"1135" 69 0 0 1 0 "T" 0 "O" 20928 4 0 0 0 200 0
"1136" 58 1 0 1 0 "V" 46944 "O" 48464 42464 720 100 392 0 0
"1138" 18 0 0 1 0 "R" 0 "N" 0 0 0 0 0 0 1
"1139" 67 0 0 1 0 "T" 4680 "F" 0 0 400 0 0 0 0
"1141" 31 0 0 1 0 "P" 0 "U" 0 0 416 0 0 0 0
"1144" 52 2 0 1 0 "P" 42000 "O" 52464 464 0 0 0 0 0
"1145" 29 2 0 1 0 "E" 0 "O" 0 0 0 0 0 0 1
"1146" 55 0 0 1 0 "P" 51000 "P" 0 0 0 0 544 80 0
"1147" 50 1 0 1 0 "P" 6000 "O" 58464 40000 288 0 0 0 1
"1148" 45 1 0 1 0 "P" 42000 "O" 61248 30464 880 0 0 0 1
"1152" 63 0 0 1 0 "P" 18720 "P" 0 0 80 0 0 0 0
"1153" 67 1 0 0 0 "B" 19500 "U" 0 0 356 168 144 0 0
"1155" 52 0 0 1 10200 "V" 36600 "O" 46464 0 684 240 400 40 0
"1158" 59 0 0 1 9500 "P" 15660 "O" 30464 46000 288 0 516 0 0
"1159" 42 1 0 1 0 "P" 30600 "O" 28928 54464 0 0 0 0 1
"1161" 48 3 0 1 0 "E" 0 "O" 0 0 0 0 0 0 1
"1162" 66 0 0 1 0 "T" 0 "F" 0 0 440 0 0 0 0
"1163" 69 0 0 1 0 "P" 9360 "P" 0 0 0 0 0 0 1
"1164" 39 0 0 1 1440 "V" 25500 "U" 0 0 108 320 0 0 0
"1165" 42 3 0 1 0 "Z" 0 "N" 0 0 0 0 0 0 0
"1166" 58 0 0 1 5000 "V" 31320 "F" 0 0 500 0 0 0 0
"1167" 59 1 0 0 0 "P" 18000 "U" 0 0 320 216 0 0 0
"1168" 54 2 0 0 1800 "B" 27600 "O" 52464 47964 776 0 0 0 1
"1170" 49 2 0 1 14700 "P" 18210 "O" 28928 22464 584 640 0 60 0
"1171" 69 0 0 1 0 "T" 4296 "P" 0 0 0 0 0 0 0
"1172" 69 0 0 1 0 "T" 12000 "P" 0 0 0 0 0 0 0
"1173" 38 0 0 1 0 "R" 16248 "U" 0 0 388 0 0 0 0
"1174" 28 3 0 1 15000 "V" 30000 "O" 11392 40000 760 0 0 0 1
"1175" 40 0 0 1 4353 "P" 5292 "N" 0 0 0 0 0 0 1
"1176" 57 0 0 1 0 "P" 30000 "O" 34464 32464 760 0 280 0 0
"1177" 57 1 0 1 0 "P" 30000 "O" 64000 52000 384 0 0 0 0
"1180" 48 2 0 1 0 "M" 39000 "O" 14464 0 240 160 0 0 0
"1182" 44 0 0 1 0 "P" 48000 "O" 48928 54464 1200 308 0 0 0
"1183" 53 0 0 1 0 "E" 928 "O" 43392 4 0 0 0 0 0
"1184" 57 1 0 1 11000 "V" 21741 "O" 928 40464 0 0 0 100 1
"1185" 44 1 0 1 8000 "W" 0 "U" 0 0 628 0 0 680 1
"1186" 39 3 0 1 3000 "E" 42000 "O" 20928 54464 1200 600 0 0 1
"1187" 68 0 0 1 0 "E" 12480 "U" 0 0 480 0 0 0 0
"1188" 45 1 0 0 0 "P" 0 "O" 57856 12928 0 200 0 0 0
"1189" 60 0 0 1 0 "P" 23850 "O" 28928 4 0 500 0 0 1
"1190" 65 0 0 1 0 "V" 27279 "F" 0 0 740 0 0 160 0
"1191" 40 0 0 1 6000 "V" 30000 "U" 0 0 384 0 0 0 0
"1192" 62 0 0 1 0 "W" 0 "U" 0 0 0 0 0 0 1
"1193" 65 0 0 1 0 "V" 15000 "P" 0 0 0 0 0 0 0
"1195" 55 2 0 1 0 "P" 18000 "O" 46464 0 0 684 300 0 1
"1196" 59 2 0 1 0 "V" 17889 "O" 4928 50464 0 0 0 0 1
"1198" 50 2 0 1 11100 "V" 49500 "O" 52192 27392 1740 472 0 36 0
"1199" 69 0 0 1 0 "P" 18000 "P" 0 0 0 472 0 0 0
"1201" 41 1 1 1 12400 "P" 52500 "O" 3392 24000 400 1600 0 0 0
"1202" 65 0 0 0 0 "M" 0 "F" 0 0 0 200 336 104 0
"1203" 61 0 0 1 0 "P" 18000 "F" 0 0 0 0 0 0 0
"1204" 57 0 0 1 11700 "P" 52500 "O" 46784 7392 2048 0 0 160 0
"1205" 52 0 0 1 0 "P" 60000 "O" 63392 54464 1900 0 0 0 0
"1206" 61 0 0 1 0 "P" 12480 "P" 0 0 0 0 0 0 1
"1207" 62 0 0 1 0 "E" 24000 "F" 0 0 400 0 0 0 0
"1208" 64 0 0 1 0 "P" 21240 "P" 0 0 320 0 0 0 0
"1209" 58 2 0 1 0 "P" 23400 "O" 20928 46464 400 0 68 76 0
"1210" 48 0 0 0 0 "P" 9000 "F" 0 0 320 28 0 0 0
"1212" 8 0 0 1 0 "R" 0 "U" 0 0 0 0 0 0 1
"1213" 46 0 0 0 0 "P" 51996 "O" 60800 38400 636 0 0 0 1
"1214" 58 0 0 1 0 "V" 21900 "F" 0 0 600 296 0 0 0
"1215" 64 1 0 1 0 "V" 24852 "O" 34464 20464 528 360 0 0 0
"1216" 64 0 0 1 0 "P" 52500 "P" 0 0 0 0 0 0 0
"1217" 20 0 1 1 1000 "R" 60000 "O" 6784 40000 744 0 0 0 1
"1218" 35 4 0 1 8000 "E" 6000 "O" 43392 6400 0 0 0 600 0
"1219" 22 0 0 1 0 "R" 0 "O" 14464 4 0 0 0 0 1
"1220" 61 0 0 1 2500 "E" 15000 "O" 60464 22000 416 880 0 0 0
"1221" 52 4 1 1 0 "V" 37764 "U" 0 0 0 340 0 0 0
"1222" 56 3 0 1 1200 "P" 31500 "O" 6928 46464 784 256 0 0 1
"1223" 60 0 0 1 0 "E" 46800 "O" 11392 928 1144 680 0 108 0
"1224" 20 0 0 1 0 "R" 0 "N" 0 0 0 0 0 0 1
"1225" 66 0 0 1 0 "T" 5538 "P" 0 0 492 0 0 0 0
